Fold,Train Loss,Valid AUROC
1,2.179665,0.65465
1,2.178931,0.627575
1,2.179609,0.630525
1,2.180015,0.619569
1,2.179659,0.622269
1,2.180067,0.616269
1,2.180638,0.610806
1,2.17938,0.6313
1,2.178788,0.615731
1,2.180225,0.622394
1,2.179356,0.641644
1,2.179133,0.6439
1,2.180325,0.627306
1,2.179234,0.635475
1,2.178824,0.624912
1,2.178956,0.62575
1,2.179583,0.609562
1,2.17837,0.5988
1,2.179902,0.628544
1,2.179214,0.608937
1,2.179269,0.621769
1,2.180146,0.617031
1,2.179524,0.622294
1,2.178596,0.637919
1,2.180066,0.626244
1,2.17983,0.604475
1,2.178774,0.61095
1,2.179536,0.628506
1,2.179985,0.627419
1,2.179757,0.607963
1,2.178475,0.640531
1,2.178874,0.623356
1,2.180856,0.645663
1,2.179682,0.63885
1,2.180684,0.622788
1,2.179871,0.634625
1,2.179731,0.620537
1,2.179957,0.614975
1,2.178589,0.63325
1,2.179159,0.601756
1,2.179618,0.630788
1,2.179815,0.624231
1,2.179362,0.622831
1,2.17999,0.624756
1,2.179884,0.618306
1,2.178256,0.646106
1,2.179749,0.623369
1,2.180374,0.622625
1,2.179558,0.6332
1,2.180171,0.629206
2,2.175827,0.8741
2,2.175915,0.872769
2,2.175142,0.866406
2,2.176223,0.878506
2,2.175211,0.874356
2,2.175324,0.869925
2,2.176044,0.854294
2,2.175921,0.855625
2,2.175127,0.873838
2,2.174439,0.868319
2,2.174483,0.877519
2,2.174136,0.864575
2,2.175177,0.870437
2,2.175353,0.870731
2,2.175201,0.873488
2,2.175508,0.88115
2,2.175545,0.877956
2,2.17475,0.873706
2,2.176021,0.886156
2,2.175975,0.869163
2,2.174682,0.872894
2,2.175902,0.8757
2,2.1752,0.862638
2,2.175275,0.894162
2,2.174989,0.8713
2,2.17579,0.857088
2,2.175283,0.858831
2,2.174618,0.877937
2,2.175126,0.863975
2,2.176148,0.866831
2,2.174979,0.872531
2,2.175221,0.88225
2,2.17535,0.869706
2,2.175495,0.886394
2,2.175342,0.874619
2,2.174121,0.869381
2,2.174178,0.87815
2,2.175387,0.875019
2,2.174994,0.8623
2,2.174219,0.865594
2,2.174944,0.863494
2,2.17632,0.874356
2,2.175042,0.860619
2,2.175436,0.868663
